Наименование,Url_товара,Url_изображения,Категория,Полная цена,Цена соскидкой
"Колбаса вареная Мясная Папа может, кг",https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=751366&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/775767/775767_thumbnail.jpg,"Мясо, птица, колбасы/Колбасы вареные","424,00","269,99"
Диски ватные Bella 100шт,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=182197&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/496463/496463_thumbnail.jpg,Косметика и гигиена/Гигиенические и бумажные товары,"99,99","74,99"
Вода Байкал 430 природная питьевая...,https://www.okeydostavka.ru/msk/25-na-vodu-ot-6-sht/voda-baikal-430-prirod-pit-ev-negaz-0-45l-pet,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/855819/855819_thumbnail.jpg,Горячие и холодные напитки/Вода,"69,99","59,49"
Творог зерненый Савушкин 101 зерно клубника...,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=168908&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/211589/211589_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Творожные изделия","72,99","59,99"
Вода Боржоми минеральная лечебно-столовая...,https://www.okeydostavka.ru/msk/25-na-vodu-ot-6-sht/voda-borzhomi-min-lech-stol-gaz-0-5l-st-b,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/661727/661727_thumbnail.jpg,Горячие и холодные напитки/Вода,"135,99","114,99"
Сыр Сливочный Лайтер (Litere) мдж в сух в-е 50%...,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=893086&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/836125/836125_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Сыры/Твердые и полутвердые сыры","899,00","699,99"
Сыр плавленый Hochland Чизбургер ломтики 45%...,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=66360&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/1184/1184_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Сыры/Плавленые сыры","149,99","109,99"
"Томаты Махитос, кг",https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=46694&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/21553/21553_thumbnail.jpg,Овощи и фрукты/Овощи,"279,99","199,99"
Макароны Baisad рожки 450г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=107007&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/225410/225410_thumbnail.jpg,Бакалея и консервы/Макаронные изделия,"61,99","52,99"
Сыр Умалат Сулугуни 45% Россия 280г БЗМЖ,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=118132&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/609576/609576_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Сыры/Рассольные сыры","319,00","229,99"
Огурцы О`КЕЙ соленые по-домашнему 950мл,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=905985&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/841748/841748_thumbnail.jpg,Бакалея и консервы/Консервы/Овощи и грибы консервированные,"169,99","134,99"
Зубная паста Splat Professional Биокальций 100мл,https://www.okeydostavka.ru/msk/zubnaia-pasta-splat-professional-biokal-tsii-100ml,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/333206/333206_thumbnail.jpg,Косметика и гигиена/Товары гигиены полости рта,"239,00","159,99"
Наггетсы Мираторг c сыром 300г,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=243496&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/492647/492647_thumbnail.jpg,Banners/Замороженные продукты,"199,99","176,99"
Майонез Я люблю готовить Московский Провансаль...,https://www.okeydostavka.ru/msk/maionez-ia-liubliu-gotovit-moskovskii-provansal-67-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/719411/719411_thumbnail.jpg,"Растительные масла, соусы и приправы/Майонез","189,99","139,99"
Мороженое 48 копеек пломбир брикет 210г БЗМЖ,https://www.okeydostavka.ru/webapp/wcs/stores/servlet/ProductDisplay?urlRequestType=Base&catalogId=10551&categoryId=3074457345616778220&productId=3074457345617669704&errorViewName=ProductDisplayErrorView&urlLangId=&langId=-20&top_category=3074457345616778220&parent_category_rn=3074457345616778220&storeId=10151,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/884817/884817_thumbnail.jpg,Banners/Cпециальное предложение,"189,99","119,99"
