Наименование,Url_товара,Url_изображения,Категория,Полная цена,Цена соскидкой
Сыр Фета Sveza Савушкин 45% 200г Беларусь БЗМЖ,https://www.okeydostavka.ru/msk/skidki/bzmzh-syr-feta-sveza-savushkin-45-200g-belarus-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/915205/915205_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Сыры/Рассольные сыры","168,99","119,99"
"Молоко Parmalat ультрапастеризованное 3,5% 1л БЗМЖ",https://www.okeydostavka.ru/msk/bzmzh-moloko-utp-parmalat-3-5-1l,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/354660/354660_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Молоко и сливки","120,99","104,99"
"Свинина карбонад, кг",https://www.okeydostavka.ru/msk/svinina-karbonad-p-f-okhlazhdennyi-kg,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/527775/527775_thumbnail.jpg,Акции/Всегда свежие продукты,"479,00","329,99"
"Кабачки, кг",https://www.okeydostavka.ru/msk/skidki/kabachki-kg-18870-parent,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/18870/18870_thumbnail.jpg,Овощи и фрукты/Овощи,"119,99","99,99"
"Филе грудки индейки, кг",https://www.okeydostavka.ru/msk/file-grudki-indeiki-p-f-okhlazhdennyi-kg,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/18546/18546_thumbnail.jpg,Акции/Всегда свежие продукты,"569,00","449,99"
Молоко ультрапастеризованное Северная долина...,https://www.okeydostavka.ru/msk/skidki/bzmzh-moloko-utp-severnaia-dolina-3-2-950g-t-p,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/701644/701644_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Молоко и сливки","79,99","69,99"
"Грибы шампиньоны, 400г упак",https://www.okeydostavka.ru/msk/skidki/griby-shampin-ony-400g-upak,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/798583/798583_thumbnail.jpg,Овощи и фрукты/Овощи,"149,99","119,99"
"Молоко О`КЕЙ ультрапастеризованное 3,2% 975мл БЗМЖ",https://www.okeydostavka.ru/msk/skidki/bzmzh-moloko-utp-o-kei-3-2-975ml-tva-kryshka,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/851352/851352_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Молоко и сливки","99,99","79,99"
Редис 500г,https://www.okeydostavka.ru/msk/skidki/redis-500g-upak,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/234661/234661_thumbnail.jpg,Овощи и фрукты/Овощи,"119,99","99,99"
Масло сливочное Вкуснотеево Традиционное 200г...,https://www.okeydostavka.ru/msk/skidki/bzmzh-maslo-sliv-vkusnoteevo-tradits-200g-82-5-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/790973/790973_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Масло сливочное и маргарин","239,00","199,99"
Йогурт греческий Teos натуральный 2% 140г БЗМЖ,https://www.okeydostavka.ru/msk/skidki/bzmzh-iogurt-grecheskii-teos-natural-nyi-2-140g-p-st-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/783007/783007_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Йогурты и творожки","48,49","39,99"
Масло подсолнечное Altero Golden с добавлением...,https://www.okeydostavka.ru/msk/maslo-podsolnechnoe-altero-golden-s-dobavleniem-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/127857/127857_thumbnail.jpg,"Растительные масла, соусы и приправы/Масло растительное","155,99","109,99"
Вода Святой Источник питьевая негазированная 5л,https://www.okeydostavka.ru/msk/voda-sviatoi-istochnik-pit-ev-negaz-5-0l-pet,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/728294/728294_thumbnail.jpg,Горячие и холодные напитки/Вода,"129,99","109,99"
"Голень цыпленка Петелинка, кг",https://www.okeydostavka.ru/msk/skidki/golen-tsyplenka-okhlazhdennaia-petelinka-podlozhka-kg,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/439758/439758_thumbnail.jpg,Акции/Всегда свежие продукты,"374,00","299,99"
"Голень индейки О`КЕЙ Daily, кг",https://www.okeydostavka.ru/msk/skidki/golen-indeiki-okhlazhdennaia-tchn-okei-daily-kg,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/764036/764036_thumbnail.jpg,Акции/Мясные продукты,"249,99","219,99"
Корм влажный FELIX® для кошек с кроликом в желе...,https://www.okeydostavka.ru/msk/skidki/korm-vlazhnyi-felix-dlia-koshek-s-krolikom-v-zhele-75g-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/948970/948970_thumbnail.jpg,Товары для животных/Корм для кошек,"29,49","23,99"
Крупа гречневая Агро-Альянс Экстра элитная 900г,https://www.okeydostavka.ru/msk/skidki/krupa-grechnevaia-agro-al-ians-ekstra-elitnaia-900g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/144357/144357_thumbnail.jpg,Бакалея и консервы/Крупы и бобовые,"143,99","84,99"
"Бедро цыпленка О`КЕЙ Daily, кг",https://www.okeydostavka.ru/msk/skidki/bedro-tsyplenka-okhlazhdennoe-tchn-okei-daily-kg,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/750848/750848_thumbnail.jpg,Акции/Мясные продукты,"246,99","169,99"
Горошек Green Ray зеленый 425мл,https://www.okeydostavka.ru/msk/goroshek-zelenyi-green-ray-425ml,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/463092/463092_thumbnail.jpg,Бакалея и консервы/Консервы/Овощи и грибы консервированные,"109,99","79,99"
Голубика 125г,https://www.okeydostavka.ru/msk/skidki/golubika-125g-upak,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/233805/233805_thumbnail.jpg,Акции/Всегда свежие продукты,"189,99","129,99"
Туалетная бумага Papia Белая 3-слойная 8шт,https://www.okeydostavka.ru/msk/tualetnaia-bumaga-papia-belaia-3sl-8sht-816545-parent,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/816545/816545_thumbnail.jpg,Косметика и гигиена/Гигиенические и бумажные товары,"384,00","169,99"
Десерт Фрутоняня яблоко-банан-клубника с 7...,https://www.okeydostavka.ru/msk/skidki/desert-frutoniania-iabloko-banan-klubnika-s-7mes-90g-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/714912/714912_thumbnail.jpg,Детские товары и игрушки/Детское питание/Пюре детское,"59,99","42,99"
"Говядина лопатка без кости, кг",https://www.okeydostavka.ru/msk/skidki/goviadina-lopatka-bez-kosti-p-f-okhlazhdennyi-kg-8151-parent,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/8151/8151_thumbnail.jpg,Акции/Всегда свежие продукты,"829,00","699,99"
"Биойогурт Актибио Натуральный 3,5% 130г БЗМЖ",https://www.okeydostavka.ru/msk/skidki/bzmzh-bioiogurt-aktibio-natural-nyi-3-5-130g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/975272/975272_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Йогурты и творожки","47,99","34,99"
Сметана Простоквашино 10% 300г БЗМЖ,https://www.okeydostavka.ru/msk/skidki/bzmzh-smetana-prostokvashino-10-300g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/772610/772610_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Сметана","84,99","69,99"
Сельдерей стеблевой шт,https://www.okeydostavka.ru/msk/skidki/sel-derei-steblevoi-sht,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/696710/696710_thumbnail.jpg,Овощи и фрукты/Овощи,"139,99","99,99"
Макароны Barilla Fusilli 450г,https://www.okeydostavka.ru/msk/makarony-barilla-fusilli-98-450g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/95252/95252_thumbnail.jpg,Бакалея и консервы/Макаронные изделия,"109,99","82,99"
"Сыр Ламбер 50% Россия, кг БЗМЖ",https://www.okeydostavka.ru/msk/bzmzh-syr-lamber-mdzh-v-sukh-v-e-50-sychuzhnyi-rossiia-kg,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/14156/14156_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Сыры/Твердые и полутвердые сыры","1 199,00","869,99"
"Арбуз импортный, кг",https://www.okeydostavka.ru/msk/skidki/arbuz-importnyi-kg,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/21454/21454_thumbnail.jpg,Акции/Всегда свежие продукты,"129,99","89,99"
Фарш Черкизово Домашний 400г,https://www.okeydostavka.ru/msk/skidki/farsh-domashnii-okhlazhdennyi-cherkizovo-lotok-400g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/783964/783964_thumbnail.jpg,Акции/Всегда свежие продукты,"194,99","164,99"
"Груша Вильямс, кг",https://www.okeydostavka.ru/msk/skidki/grusha-vil-iams-kg,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/37295/37295_thumbnail.jpg,Акции/Всегда свежие продукты,"229,99","169,99"
Лимонад Черноголовка Кола газированный 2л,https://www.okeydostavka.ru/msk/skidki/limonad-napitki-iz-chernogolovki-kola-gaz-2-0l-pet,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/943073/943073_thumbnail.jpg,Горячие и холодные напитки/Лимонады,"155,99","119,99"
Томаты черри Делишер на ветке сладкие 250г,https://www.okeydostavka.ru/msk/skidki/tomaty-cherri-delisher-na-vetke-sladkie-250g-upak,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/380079/380079_thumbnail.jpg,Овощи и фрукты/Овощи,"169,99","99,99"
Чебурек Богатырь Жаренки с мясом 180г,https://www.okeydostavka.ru/msk/skidki/cheburek-s-miasom-bogatyr-zharenki-180g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/845020/845020_thumbnail.jpg,"Заморозка, готовая кулинария/Пицца и тесто","89,99","74,99"
Креветки королевские белоногие с головой...,https://www.okeydostavka.ru/msk/skidki/krevetki-korolevskie-s-g-s-m-belonogie-kg,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/544813/544813_thumbnail.jpg,"Рыба, морепродукты и икра/Морепродукты","799,00","579,99"
Овощное трио Морозко Green 400г,https://www.okeydostavka.ru/msk/skidki/ovoshchnoe-trio-morozko-green-400g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/710929/710929_thumbnail.jpg,"Заморозка, готовая кулинария/Овощи и ягоды замороженные","189,99","99,99"
"Биойогурт Актибио Вишня 2,9% 130г БЗМЖ",https://www.okeydostavka.ru/msk/skidki/bzmzh-bioiogurt-aktibio-vishnia-2-9-130g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/975267/975267_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Йогурты и творожки","47,99","34,99"
Тунец Пеликан натуральный для салатов 185 г,https://www.okeydostavka.ru/msk/skidki/tunets-pelikan-natural-nyi-dlia-salatov-185-g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/901385/901385_thumbnail.jpg,Бакалея и консервы/Консервы/Рыбные консервы,"148,99","99,99"
Напиток Добрый Кола безалкогольный газированный...,https://www.okeydostavka.ru/msk/skidki/napitok-dobryi-kola-gaz-1-5l-pet,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/951743/951743_thumbnail.jpg,Горячие и холодные напитки/Лимонады,"159,49","127,99"
Бекон сырокопченый Дымов Венгерский 200г нарезка,https://www.okeydostavka.ru/msk/skidki/bekon-s-k-dymov-narezka-200g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/731921/731921_thumbnail.jpg,"Мясо, птица, колбасы/Мясные деликатесы","274,00","149,99"
Приправа Айдиго чеснок 20г,https://www.okeydostavka.ru/msk/skidki/priprava-aidigo-chesnok-20g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/750224/750224_thumbnail.jpg,"Растительные масла, соусы и приправы/Специи, приправы","41,99","36,99"
Вода Тассай минеральная питьевая негазированная...,https://www.okeydostavka.ru/msk/25-na-vodu-ot-6-sht/voda-tassai-min-pit-ev-negaz-1-5l-pet,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/890420/890420_thumbnail.jpg,Горячие и холодные напитки/Вода,"69,49","57,99"
Пюре фруктовое Фрутоняня яблоко с 4 месяцев 90г...,https://www.okeydostavka.ru/msk/skidki/piure-fruktovoe-frutoniania-iabloko-s-4-mes-90g-g-p,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/686348/686348_thumbnail.jpg,Детские товары и игрушки/Детское питание/Пюре детское,"59,99","42,99"
"Молоко сгущенное Алексеевское с сахаром 8,5%...",https://www.okeydostavka.ru/msk/skidki/bzmzh-moloko-sgushchennoe-alekseevskoe-s-sakharom-8-5-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/634786/634786_thumbnail.jpg,Бакалея и консервы/Консервы/Молочные консервы,"129,99","99,99"
Продукт Сиртаки рассольный для греческого салата...,https://www.okeydostavka.ru/msk/skidki/produkt-rassol-nyi-sirtaki-dlia-grecheskogo-salata-original-55-200g-rossiia,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/771586/771586_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Сыры/Рассольные сыры","139,99","109,99"
"Форель стейк свежемороженый, кг",https://www.okeydostavka.ru/msk/skidki/forel-steik-s-m-kg,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/737580/737580_thumbnail.jpg,"Рыба, морепродукты и икра/Рыба охлажденная и замороженная","1 299,00","899,99"
"Масло сладко-сливочное Тысяча озер 82,5% 400г БЗМЖ",https://www.okeydostavka.ru/msk/bzmzh-maslo-sladko-slivochnoe-tysiacha-ozer-82-5-400g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/491686/491686_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Масло сливочное и маргарин","569,00","439,99"
Цикорий Здравник натуральный 85г,https://www.okeydostavka.ru/msk/skidki/tsikorii-zdravnik-natural-nyi-85g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/744018/744018_thumbnail.jpg,"Горячие и холодные напитки/Кофе, какао, цикорий/Цикорий","119,99","84,99"
Макароны Barilla Spaghetti 05 450г,https://www.okeydostavka.ru/msk/skidki/makarony-barilla-spaghetti-05-450g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/95253/95253_thumbnail.jpg,Бакалея и консервы/Макаронные изделия,"109,99","82,99"
Горбуша ТМ Доброфлот натуральная 245г,https://www.okeydostavka.ru/msk/skidki/gorbusha-natural-naia-tm-dobroflot-b-6-245g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/830881/830881_thumbnail.jpg,Бакалея и консервы/Консервы/Рыбные консервы,"209,00","184,99"
Кукуруза Heinz консервированная 340г,https://www.okeydostavka.ru/msk/skidki/kukuruza-heinz-konservirovannaia-340g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/771926/771926_thumbnail.jpg,Бакалея и консервы/Консервы/Овощи и грибы консервированные,"139,99","89,99"
Молоко Parmalat ультрапастеризованное Comfort...,https://www.okeydostavka.ru/msk/skidki/bzmzh-moloko-utp-parmalat-comfort-bezlaktoznoe-1-8-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/879670/879670_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Молоко и сливки","174,99","149,99"
Фарш из индейки Пава-Пава Нежный 450г,https://www.okeydostavka.ru/msk/skidki/farsh-iz-indeiki-nezhnyi-pava-pava-gvu-450g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/960842/960842_thumbnail.jpg,Акции/Всегда свежие продукты,"219,00","182,99"
Шпроты Вкусные Консервы Крупные в масле 240г,https://www.okeydostavka.ru/msk/skidki/krupnye-shproty-vkusnye-konservy-b-k-v-masle-240g-s-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/746225/746225_thumbnail.jpg,Бакалея и консервы/Консервы/Рыбные консервы,"169,49","149,99"
Биойогурт Актибио Киви/мюсли 3% 130г БЗМЖ,https://www.okeydostavka.ru/msk/skidki/bzmzh-bioiogurt-aktibio-kivi-miusli-3-130g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/975268/975268_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Йогурты и творожки","47,99","34,99"
Пирожное Orion Choco Pie 360г,https://www.okeydostavka.ru/msk/pirozhnoe-choco-pie-360g-orion,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/454238/454238_thumbnail.jpg,"Сладости, хлеб/Мучные кондитерские изделия","174,99","139,99"
"Cок О`КЕЙ Гранат прямой отжим 1,0л",https://www.okeydostavka.ru/msk/25-na-soki-ot-6-sht/cok-okei-granat-priamoi-otzhim-1-0l-st-b,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/836891/836891_thumbnail.jpg,"Горячие и холодные напитки/Соки, нектары, морсы","169,99","129,99"
Хлеб Ржаной Край зерновой 300г,https://www.okeydostavka.ru/msk/skidki/khleb-kolomenskii-rzhanoi-krai-zernovoi-300g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/712698/712698_thumbnail.jpg,"Сладости, хлеб/Хлебобулочные изделия/Хлеб, батон, лепешки, лаваш","109,99","87,99"
Хлеб Вкусно и Просто Тостовый пшеничный 320г...,https://www.okeydostavka.ru/msk/skidki/khleb-tostovyi-pshenichnyi-320g-vkusno-i-prosto,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/878720/878720_thumbnail.jpg,"Сладости, хлеб/Хлебобулочные изделия/Хлеб, батон, лепешки, лаваш","62,99","54,99"
Маслины Filippo Berio без косточки 300г,https://www.okeydostavka.ru/msk/skidki/masliny-filippo-berio-bez-kostochki-300g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/870890/870890_thumbnail.jpg,Бакалея и консервы/Консервы/Овощи и грибы консервированные,"239,00","149,99"
Колбаса вареная Мясная Папа может 400г,https://www.okeydostavka.ru/msk/skidki/kolbasa-var-miasnaia-papa-mozhet-p-o-400g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/910194/910194_thumbnail.jpg,"Мясо, птица, колбасы/Колбасы вареные","239,00","129,99"
Творог Искренне Ваш 9% 180г БЗМЖ,https://www.okeydostavka.ru/msk/skidki/bzmzh-tvorog-iskrenne-vash-9-180g-pergam-floup,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/806749/806749_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Молочные продукты/Творожные изделия","88,99","77,99"
Пельмени Caesar Elite 700г,https://www.okeydostavka.ru/msk/skidki/pel-meni-caesar-elite-700g,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/902657/902657_thumbnail.jpg,"Заморозка, готовая кулинария/Пельмени и мучные изделия","399,00","199,50"
Пюре Фрутоняня фруктовое салатик из фруктов 4...,https://www.okeydostavka.ru/msk/skidki/piure-frutoniania-salatik-iz-fruktov-s-6-mes-90g-g-p,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/797530/797530_thumbnail.jpg,Детские товары и игрушки/Детское питание/Пюре детское,"59,99","42,99"
Полотенца бумажные Soffione Grande 2-слойные 1шт,https://www.okeydostavka.ru/msk/skidki/polotentsa-bumazhnye-soffione-grande-2sl-1sht,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/900784/900784_thumbnail.jpg,Косметика и гигиена/Гигиенические и бумажные товары,"224,00","164,99"
Котлеты куриные Петелинка Сливочные 500г,https://www.okeydostavka.ru/msk/skidki/kotlety-kurinye-slivochnye-okhlazhdennye-petelinka-gvu-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/793146/793146_thumbnail.jpg,Акции/Всегда свежие продукты,"209,00","164,99"
Колбаса варено-копченая Сервелат Финский Папа...,https://www.okeydostavka.ru/msk/skidki/kolbasa-v-k-ostankino-servelat-finskii-srez-0-42kg-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/734618/734618_thumbnail.jpg,"Мясо, птица, колбасы/Колбасы копченые","354,00","179,99"
Яйцо куриное С1 Волжанин 30шт,https://www.okeydostavka.ru/msk/skidki/iaitso-kurinoe-s1-volzhanin-30sht,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/749300/749300_thumbnail.jpg,"Молочные продукты, сыры, яйцо/Яйцо","389,00","279,99"
Фасоль Бондюэль красная 425мл,https://www.okeydostavka.ru/msk/skidki/fasol-krasnaia-bondiuel-425ml-zh-b,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/50904/50904_thumbnail.jpg,Бакалея и консервы/Консервы/Овощи и грибы консервированные,"139,99","114,99"
"Филе бедра цыпленка Петелинка, кг",https://www.okeydostavka.ru/msk/skidki/file-bedra-tsyplenka-okhlazhdennoe-petelinka-n-p-kg-793142-parent,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/793142/793142_thumbnail.jpg,Акции/Всегда свежие продукты,"519,00","399,99"
Полотенца бумажные WHITECLOUD с рисунком 2сл...,https://www.okeydostavka.ru/msk/skidki/polotentsa-bumazhnye-whitecloud-s-risunkom-2sl-2rul-,https://www.okeydostavka.ru/wcsstore/OKMarketCAS/cat_entries/679299/679299_thumbnail.jpg,Косметика и гигиена/Гигиенические и бумажные товары,"94,99","74,99"
